,Base,Kanata,keyd
0,0.2526703390030889,0.3228949280019151,0.311461577002774
1,0.2847601109970128,0.2991934220044641,0.2930055589968106
2,0.23995666900009383,0.36472538800444454,0.2997617210057797
3,0.24800287799735088,0.2801658120006323,0.3010899749933742
4,0.2547717459965497,0.3124701049964642,0.30203982698731124
5,0.241185052000219,0.3133394979959121,0.2827887969906442
6,0.257787451002514,0.2728617370012216,0.3115743030066369
7,0.29044713400071487,0.28026589599903673,0.3629120609984966
8,0.2876815359923057,0.3650221469870303,0.3257619310024893
9,0.2437117959925672,0.3224691020004684,0.34695722299511544
10,0.26459173898911104,0.34542751699336804,0.3387391989963362
11,0.24783394200494513,0.28120113199111074,0.32007351399806794
12,0.27778864999709185,0.30657613900257275,0.3067636610066984
13,0.2617773919919273,0.3180598440085305,0.30259772700082976
14,0.24738367399550043,0.31526825700711925,0.284027725996566
15,0.2602587519941153,0.3260795230016811,0.33193156399647705
16,0.27004709700122476,0.31744599899684545,0.30580284498864785
17,0.27019425500475336,0.0769549530086806,0.28651277399330866
18,0.30151912099972833,0.300415438003256,0.36003373700077645
19,0.29593079099140596,0.3958773399936035,0.3780475179955829
20,0.3800142429972766,0.33054340099624824,0.34904864498821553
21,0.2859754620003514,0.3141712409997126,0.31824707899068017
22,0.31379167998966295,0.29588128899922594,0.28943985200021416
23,0.2724262020055903,0.325558982003713,0.29604508700140286
24,0.25426821399014443,0.30223265099630225,0.4706141789938556
25,0.25919884399627335,0.30012747200089507,0.2962740289949579
26,0.26314149200334214,0.31874121000873856,0.2934491310006706
27,0.28552743200270925,0.30472440300218295,0.29831942199962214
28,0.2889081309986068,0.3432013529964024,0.3170811390009476
29,0.2932770230108872,0.31293670600280166,0.30842562500038184
30,0.3244335769995814,0.4414685940137133,0.36494621699966956
31,0.29682143600075506,0.3106004160072189,0.3284760670067044
32,0.2504555539926514,0.29407243999594357,0.330010425997898
33,0.24715322100382764,0.38755222100007813,0.2946064150019083
34,0.2815672669967171,0.32059222398675047,0.2978293430060148
35,0.26575722300913185,0.3174141320050694,0.32729734500753693
36,0.26933201198698953,0.3353089860029286,0.33152509000501595
37,0.28222441200341564,0.0029742920014541596,0.3265293639997253
38,0.003448164992732927,0.37618109700269997,0.322533285987447
39,0.3309514440043131,0.3123853639990557,0.3128586370003177
40,0.277306360003422,0.4385534430039115,0.3413297889928799
41,0.27316145300574135,0.31088871500105597,0.2674140070012072
42,0.2961741559993243,0.3661790140031371,0.28933055700326804
43,0.2822465599892894,0.3316151019971585,0.291717266998603
44,0.31912113999715075,0.337099236989161,0.2805016939964844
45,0.2787659900059225,0.2924337239965098,0.31464526800846215
46,0.26688643998932093,0.3270047579862876,0.3125805309973657
47,0.2703624029963976,0.33286757599853445,0.2989284509967547
48,0.2866639970015967,0.3627795869979309,0.18696828100655694
49,0.28911957099626306,0.2921713249961613,0.3099483260011766
